Temp , Ave_magnetization , Ave_magnetization^2 , Susceptibility
1.97,0.7579657600000024,0.5745768021333204,3.2847107075750385e-05
1.96,0.7701042666666973,0.5931203874133,3.0513201555301513e-05
1.95,0.8163415466666946,0.666455110400027,2.1327992746658145e-05
1.94,0.8182702933333398,0.6696113481386978,2.3234632406142046e-05
1.93,0.8106193066666592,0.6572321346559594,6.656700270685242e-05
1.92,0.8076551466667026,0.6523271330133134,1.0571393802352724e-05
1.91,0.8127493333333312,0.6606019863040064,2.1208099597899173e-05
1.9,0.8269682666666314,0.6839398176426538,3.3317667916342656e-05
1.89,0.8176183466666825,0.6685493423786614,2.62336363501858e-05
1.88,0.8005787733333053,0.6410488848213377,6.516622844570392e-05
1.87,0.8207544000000269,0.6737064482133378,3.6718232050116837e-05
1.86,0.8269334933333811,0.6838594037759773,2.172117173563968e-05
1.85,0.832111199999968,0.6924438236159488,1.879700030383936e-05
1.84,0.8306797333333149,0.6900719010986439,2.3413982574329776e-05
1.83,0.8290736533333026,0.6874250133333053,3.3820044740988514e-05
1.82,0.791234453333406,0.6261077560319591,3.065708249739584e-05
1.81,0.8062486400000253,0.6500813493759622,2.4574516061799233e-05
1.8,0.809520266666724,0.6553594030080625,2.0189368832486863e-05
1.79,0.8055899733333514,0.6490359235413662,3.3920897282914765e-05
1.78,0.7924667733333602,0.6280286637226936,1.4088137812519939e-05
1.77,0.7923929600000249,0.6279224688640543,2.026316748774962e-05
1.76,0.8032846933333355,0.645298966101322,1.856111232445809e-05
1.75,0.8271321066666272,0.6841719744853072,1.3972918019712819e-05
1.74,0.8449938133332924,0.7140402570239973,1.4777271527760983e-05
1.73,0.8345890133333044,0.6965522632532789,7.769986485752226e-06
1.72,0.8480511466666117,0.7192051861332691,8.394634136077697e-06
1.71,0.8501325333332773,0.7227336212479599,4.852056318131079e-06
1.7,0.8458731199999565,0.7155502857386911,2.879447072367438e-05
1.69,0.861851466666721,0.7428018831360492,8.24410678770273e-06
1.68,0.8542504533333356,0.7297655333546824,1.2914484805369244e-05
1.67,0.8539817599999622,0.7293328030719505,2.8716562465538705e-05
1.66,0.8556431999999421,0.7321331341653029,4.727987446999221e-06
1.65,0.8591854933332879,0.7382082980693653,5.203706060597956e-06
1.64,0.848119573333287,0.7193264574292805,1.1979730636352946e-05
1.63,0.847236639999981,0.7178367460693313,1.6455160045329156e-05
1.62,0.8578581333333154,0.7359382750719854,1.0924781398180675e-05
1.61,0.8568841066666019,0.7342581648213183,4.840101551572968e-06
1.6,0.8595160533332395,0.7387970158933463,1.823122237377961e-05
1.59,0.8617156800000805,0.7425616208214018,4.847587044424948e-06
1.58,0.864073600000056,0.7466305957546999,4.689580786849048e-06
1.57,0.8614198399999201,0.7420736966826881,1.8825437707076266e-05
1.56,0.8639814933332418,0.7464833610240738,1.2397565214883616e-05
1.55,0.8648977066666034,0.7480694774613148,1.3828686558010042e-05
1.54,0.8643852799998778,0.7471777149441081,1.0261469896743314e-05
1.53,0.866996586666658,0.7516916047360533,5.5708787042387686e-06
1.52,0.8649804266666395,0.7482024315734384,7.429642787177604e-06
1.51,0.866630613333328,0.7510538259628031,3.4476796707457907e-06
1.5,0.8659519999999721,0.749883805440091,7.292757426243431e-06
1.49,0.8724567999999324,0.7611974076586284,1.1100531883473785e-05
1.48,0.872996319999913,0.7621313797973219,5.949367521227253e-06
1.47,0.8719282666665336,0.7602665782613373,5.221802198350529e-06
1.46,0.8710349866666453,0.7587078624427362,4.050989981743197e-06
1.45,0.8713300800000158,0.759221596245319,3.784781024217494e-06
1.44,0.8696524799999158,0.7563009762987931,3.847450548047668e-06
1.43,0.8722912533334262,0.7609013108053417,6.489624714845477e-06
1.42,0.8708511466667709,0.7583845226666286,1.973954787967183e-06
1.41,0.8709213866666783,0.7585106291200104,4.657706808972768e-06
1.4,0.8710788800000382,0.7587927316480345,1.022604708110299e-05
1.39,0.8728215466666502,0.7618240949759676,4.778885182780638e-06
1.38,0.8721073599999656,0.7605781642240468,5.012215896513924e-06
1.37,0.8720443733333526,0.7604679900160649,4.818214383434065e-06
1.36,0.8733525333332776,0.7627502156800327,4.094264984560676e-06
1.35,0.8704462933333459,0.757680975018728,3.129956271694409e-06
1.34,0.8758258133334337,0.7670813486933058,7.8308896531444e-06
1.33,0.875863733333391,0.767142035114618,3.57574880649052e-06
1.32,0.8750742933334203,0.7657659467946697,8.278743700506512e-06
1.31,0.8737288533332662,0.7634097567573332,5.837870434394676e-06
1.3,0.8762404266667074,0.7678048395093126,5.810910968560525e-06
1.29,0.8736400533332469,0.7632490639359517,1.6443006459435835e-06
1.28,0.8742929599998924,0.7643910764372583,2.2629155349909724e-06
1.27,0.877110880000014,0.7693286545919601,4.0620295756942516e-06
1.26,0.8778957866668349,0.7707043287893733,2.632176184509429e-06
1.25,0.8768215466667718,0.7688219187200407,4.7152167446107285e-06
1.24,0.878564480000095,0.7718788027733113,2.626818930652878e-06
1.23,0.8773704533334147,0.7697816557226361,2.2303578491767526e-06
1.22,0.8805092799999467,0.775297816917383,1.0038945561908382e-06
1.21,0.8750734933332934,0.765765814271963,1.0078956553291263e-05
1.2,0.8782151999998953,0.7712659005439352,3.3025275659552085e-06
1.19,0.8794402666667349,0.7734171199999991,1.6280379337835823e-06
1.18,0.8812029866665368,0.7765197732692861,9.064061537115575e-07
1.17,0.8798049066668021,0.7740585403733526,1.5953661301807886e-06
1.16,0.87867370666684,0.772068418901261,8.069944974716688e-07
1.15,0.8789763733334609,0.77260142233601,1.7021370142352674e-06
1.14,0.8805579733333547,0.7753840290987241,1.4778050693496077e-06
1.13,0.8814942933331805,0.7770335448746312,1.199730679502063e-06
1.12,0.8807944533332698,0.7758002873173793,1.2663345764853316e-06
1.11,0.8777750933334111,0.7704914030932114,2.0618168764900227e-06
1.1,0.8808610666666972,0.7759187049813229,2.2601928467197943e-06
1.09,0.8816334933330806,0.7772787083946667,1.0016770418216532e-06
1.08,0.8823983466665712,0.7786277311999458,8.231481919953022e-07
1.07,0.8815617066665038,0.7771520122026198,9.061138886979518e-07
1.06,0.881977706666518,0.7778860308480366,1.2790484020975758e-06
1.05,0.8826584533330877,0.7790866290345912,6.512326025532813e-07
1.04,0.8826895466664928,0.7791410387626159,1.9516184352346826e-07
1.03,0.8815975999998399,0.7772154712746411,1.1096593819651033e-06
