Temp , Ave_energy , Ave_energy^2 , C_v
3.42,-0.69965,1.56545,0.09198897759139563
3.415,-0.68285,1.52835,0.0910688892985687
3.41,-0.6948,1.5427,0.09115444139627278
3.405,-0.70695,1.56575,0.09194146963629973
3.4,-0.67365,1.52115,0.09233094096020762
3.395,-0.7155,1.5976,0.09419203498170445
3.39,-0.6794,1.5311,0.09306529180915583
3.385,-0.6789,1.5194,0.09237860052495044
3.38,-0.68845,1.51815,0.09139968816743112
3.375,-0.6884,1.5394,0.09354231572016461
3.37,-0.7098,1.5687,0.09376537259287303
3.365,-0.69955,1.53725,0.09254252189636786
3.36,-0.7271,1.5986,0.09477090330924036
3.355,-0.692,1.5362,0.0939351147496563
3.35,-0.7437,1.6301,0.09596884027623076
3.345,-0.72355,1.59105,0.09540825920935915
3.34,-0.7327,1.6244,0.09748921707483238
3.335,-0.7119,1.5916,0.09753429642000591
3.33,-0.6833,1.5055,0.09366132889646404
3.325,-0.7301,1.6161,0.09796406716038217
3.32,-0.70165,1.53835,0.09490104491762232
3.315,-0.7055,1.5603,0.0966919641739977
3.31,-0.728,1.6149,0.09902392274623269
3.305,-0.71205,1.56505,0.09686280105556837
3.3,-0.72475,1.58625,0.09742768021120293
3.295,-0.6929,1.5236,0.09611192660972964
3.29,-0.741,1.6062,0.0976634546983121
3.285,-0.7425,1.615,0.09857025036545894
3.28,-0.7324,1.5972,0.09860111540749551
3.275,-0.71415,1.56545,0.0984035687896976
3.27,-0.7292,1.6042,0.10029714670482283
3.265,-0.72145,1.57555,0.09897163497956188
3.26,-0.7049,1.5454,0.09865971526967522
3.255,-0.71705,1.56905,0.09956458786081206
3.25,-0.7261,1.5838,0.1000311280473373
3.245,-0.72355,1.58515,0.10081888670729651
3.24,-0.74965,1.63675,0.10238291395176037
3.235,-0.77545,1.68165,0.10323020264733919
3.23,-0.7483,1.6277,0.10234422931303858
3.225,-0.7707,1.6719,0.10364007066882999
3.22,-0.7763,1.6827,0.1041682718645114
3.215,-0.76315,1.64035,0.10235381655294848
3.21,-0.70915,1.54355,0.10099438839879271
3.205,-0.7755,1.683,0.10529566954909088
3.2,-0.779,1.6886,0.10564052734374998
3.195,-0.7804,1.7155,0.10839274394410282
3.19,-0.72505,1.56785,0.10241177833354628
3.185,-0.72805,1.59385,0.10486687721338987
3.18,-0.7741,1.6679,0.10567908607254459
3.175,-0.7699,1.6701,0.10687372955545908
3.17,-0.79215,1.70475,0.10720062668550785
3.165,-0.78745,1.70255,0.10806111448030767
3.16,-0.76625,1.64145,0.10558313346218552
3.155,-0.77935,1.68325,0.10808327058652155
3.15,-0.7725,1.6648,0.10763857394809777
3.145,-0.77025,1.65115,0.10695200320492566
3.14,-0.78255,1.68885,0.1091794289322082
3.135,-0.7901,1.716,0.11108231547405562
3.13,-0.78105,1.68095,0.10931120022660228
3.125,-0.79575,1.71405,0.11067719040000003
3.12,-0.76595,1.62645,0.1068140406702005
3.115,-0.76905,1.65675,0.10978948725810232
3.11,-0.77835,1.67845,0.11089848921123646
3.105,-0.74315,1.59415,0.10806714820260291
3.1,-0.7815,1.6668,0.10989154526534861
3.095,-0.75475,1.60755,0.10835157414246233
3.09,-0.74175,1.60445,0.1104153640514867
3.085,-0.79155,1.69285,0.1120388135722335
3.08,-0.7802,1.6542,0.11020913729128015
3.075,-0.7928,1.6977,0.11307218295987838
3.07,-0.78725,1.69195,0.11376114733312823
3.065,-0.7913,1.6867,0.11289322003677792
3.06,-0.79635,1.68975,0.11273192762399077
3.055,-0.7973,1.6981,0.11383369379166985
3.05,-0.8317,1.7646,0.1153319118516528
3.045,-0.806,1.7138,0.11477147656525946
3.04,-0.84585,1.79315,0.11661268368031512
3.035,-0.8096,1.7269,0.11631979894096606
3.03,-0.82505,1.74615,0.11604989679661039
3.025,-0.81685,1.72135,0.11519498149033537
3.02,-0.79465,1.67205,0.11409383113679228
3.015,-0.80645,1.68395,0.11370327989681223
3.01,-0.8338,1.7522,0.11666290217547268
3.005,-0.79045,1.67795,0.1166263435040324
3.0,-0.8645,1.8435,0.12179330555555554
2.995,-0.8484,1.7854,0.11879759978372412
2.99,-0.8356,1.7633,0.11913430945962575
2.985,-0.82265,1.74795,0.12022109177938829
2.98,-0.82915,1.73145,0.11755779891671546
2.975,-0.8201,1.7187,0.11819910910246448
2.97,-0.85055,1.75705,0.1171779180695847
2.965,-0.86225,1.83415,0.12406404539754132
2.96,-0.8245,1.7278,0.1196128275657414
2.955,-0.827,1.7398,0.12091937437192406
2.95,-0.85085,1.79075,0.12258595547256537
2.945,-0.8534,1.806,0.12425981015850873
2.94,-0.84085,1.76505,0.12240516422555416
2.935,-0.87005,1.82745,0.12426689545490162
2.93,-0.81215,1.68915,0.11992712524315947
2.925,-0.8739,1.8353,0.1252507899773541
2.92,-0.89825,1.87485,0.12525766296443983
2.915,-0.8426,1.7484,0.12220757247218944
2.91,-0.87415,1.82255,0.1249881056553418
2.905,-0.8829,1.8367,0.1252736649079722
2.9,-0.87895,1.84875,0.12796633739595722
2.895,-0.8392,1.7428,0.12391603175029307
2.89,-0.8707,1.8202,0.127163409202476
2.885,-0.8671,1.8101,0.12714273493747918
2.88,-0.84015,1.74455,0.12522882637683255
2.875,-0.889,1.8608,0.12950974669187143
2.87,-0.8471,1.7634,0.12696786290958975
2.865,-0.86965,1.79265,0.12625858544325966
2.86,-0.8784,1.8239,0.12865096581739943
2.855,-0.9044,1.8811,0.13043275416282002
2.85,-0.87835,1.84025,0.13157910464758388
2.845,-0.92535,1.91435,0.1307232653099045
2.84,-0.9409,1.94,0.1307661165939298
2.835,-0.85755,1.76525,0.12813601678440006
2.83,-0.9136,1.8843,0.13105857733271736
2.825,-0.9119,1.8861,0.1321373188190148
2.82,-0.9232,1.9146,0.13358253608973392
2.815,-0.9143,1.8959,0.1337614101063511
2.81,-0.9104,1.8871,0.13402462481478203
2.805,-0.8866,1.8277,0.1323890607871734
2.8,-0.91285,1.87885,0.13336159151785712
2.795,-0.94285,1.94345,0.13498214323430865
2.79,-0.9092,1.8673,0.13368987551547384
2.785,-0.95975,1.98395,0.13702928131919848
2.78,-0.91795,1.89845,0.13661531461880858
2.775,-0.9271,1.9082,0.13618188004220438
2.77,-0.91045,1.88105,0.1371229649154818
2.765,-0.93295,1.91025,0.13601356369498613
2.76,-0.96555,1.98825,0.13862150775834914
2.755,-0.96455,1.99425,0.140169933234739
2.75,-0.91545,1.86165,0.13535223768595042
2.745,-0.94595,1.92925,0.13728270277802657
2.74,-0.9609,1.9653,0.13878885262933557
2.735,-0.95315,1.95125,0.1394015657951465
2.73,-0.95765,1.96135,0.1401141136336191
2.725,-0.92215,1.87715,0.13827649221446003
2.72,-0.93665,1.91255,0.1399271163359645
2.715,-1.0019,2.051,0.14206544909428218
2.71,-0.91185,1.85725,0.13967396651734043
2.705,-0.9746,1.9838,0.1413080917449373
2.7,-0.9549,1.9269,0.13924087654320985
2.695,-0.9698,1.9703,0.14178499454428425
2.69,-0.91615,1.87115,0.14259327227373866
2.685,-1.0052,2.0498,0.1441726343677718
2.68,-0.9073,1.8644,0.1449664053798173
2.675,-1.0102,2.0766,0.1475896179579003
2.67,-0.96445,1.97065,0.14595326032066658
2.665,-0.9721,1.9704,0.14438033010781834
2.66,-0.95795,1.95195,0.14617584339137318
2.655,-0.96285,1.95585,0.14594498920063423
2.65,-1.06025,2.17295,0.14935136169455326
2.645,-0.9883,2.0071,0.14727836307045786
2.64,-0.99205,2.02835,0.14982019018308082
2.635,-1.0338,2.0989,0.14836874219112878
2.63,-1.0478,2.1289,0.14905740432852868
2.625,-1.01175,2.05105,0.1491028662131519
2.62,-1.07925,2.21355,0.1527838467309597
2.615,-1.0275,2.0905,0.15131759338132333
2.61,-0.95015,1.90615,0.14729158079006477
2.605,-1.029,2.0981,0.15314694537671172
2.6,-1.0603,2.1442,0.15088223520710056
2.595,-0.9795,1.9662,0.14950638733892427
2.59,-1.00855,2.04835,0.15372115763032754
2.585,-1.03125,2.07135,0.1508290184033013
2.58,-0.97355,1.96805,0.15327360097049453
2.575,-1.0657,2.1451,0.15223052276369112
2.57,-1.04415,2.12985,0.15739841292071038
2.565,-1.01305,2.04965,0.15554714993027302
2.56,-1.15495,2.36825,0.15782783470153813
2.555,-1.0137,2.031,0.1537084049157287
2.55,-0.9923,1.9921,0.15493128950403695
2.545,-1.1288,2.2936,0.15738870237493297
2.54,-0.9763,1.9444,0.15364224533449067
2.535,-1.03445,2.07575,0.15649361755929803
2.53,-1.0753,2.1572,0.15637330844100056
2.525,-1.0222,2.0738,0.16138137986471915
2.52,-1.0888,2.2105,0.16140944822373396
2.515,-1.01235,2.02215,0.15766988170381283
2.51,-1.04225,2.09835,0.16064267829082082
2.505,-1.13635,2.29365,0.15973779825578382
2.5,-1.1031,2.2192,0.1603792624
2.495,-1.0459,2.088,0.15969304380303692
2.49,-1.0935,2.1935,0.1609260737730036
2.485,-1.0885,2.1917,0.16304956499560744
2.48,-1.115,2.2355,0.16133503511966704
2.475,-1.12775,2.28035,0.16464114886236095
2.47,-1.0867,2.1908,0.165530185710305
2.465,-1.1145,2.2162,0.1603116655489223
2.46,-1.1514,2.324,0.16496100865886706
2.455,-1.14465,2.29885,0.1640322343942492
2.45,-1.2065,2.4316,0.16259187838400668
2.445,-1.08545,2.16025,0.16427637848620572
2.44,-1.14205,2.29535,0.16646596974939534
2.435,-1.0899,2.1828,0.16779899396632772
2.43,-1.07085,2.13645,0.16761169156124567
2.425,-1.08985,2.17755,0.16831152768625787
2.42,-1.13785,2.25635,0.16420452453725837
2.415,-1.1547,2.3212,0.16938096695515004
2.41,-1.09595,2.16885,0.16661965143506477
2.405,-1.15405,2.30945,0.16902046541984175
2.4,-1.14905,2.28575,0.16761008637152788
2.395,-1.1216,2.2377,0.1708000645046003
2.39,-1.2151,2.4458,0.16969800773795973
2.385,-1.16825,2.34375,0.172099721354201
2.38,-1.2542,2.5334,0.16954705882352938
2.375,-1.1718,2.3315,0.16990754747922437
2.37,-1.1932,2.3911,0.1722255621428189
2.365,-1.1689,2.3332,0.17286499112765888
2.36,-1.1389,2.2416,0.16958251759551857
2.355,-1.1956,2.3989,0.17479918319877746
2.35,-1.1799,2.3543,0.17422109370755995
2.345,-1.25275,2.51985,0.17284290169620975
2.34,-1.34225,2.71445,0.1667059203557601
2.335,-1.1895,2.3618,0.17367033642228635
2.33,-1.2741,2.5685,0.17409957634143192
2.325,-1.24645,2.48915,0.17306276286275865
2.32,-1.1709,2.3287,0.17793051241082045
2.315,-1.298,2.6062,0.17192709766803962
2.31,-1.33165,2.67905,0.16974162356402617
2.305,-1.25925,2.49985,0.1720563026712654
2.3,-1.18315,2.34695,0.17903706568998115
2.295,-1.29575,2.59235,0.17341515134255114
2.29,-1.34875,2.71385,0.17061525094868524
2.285,-1.15235,2.26945,0.18032922877294122
2.28,-1.1918,2.3502,0.17886518159433676
2.275,-1.21825,2.40465,0.17785618886607896
2.27,-1.36725,2.74965,0.1708314614100797
2.265,-1.33515,2.68015,0.1749483653251075
2.26,-1.2805,2.5379,0.1758594545383351
2.255,-1.2251,2.428,0.18232555198843664
2.25,-1.25865,2.50545,0.18197534370370372
2.245,-1.3736,2.7498,0.17123388078432156
2.24,-1.19255,2.34515,0.18394740463568235
2.235,-1.36245,2.74545,0.17800599522544036
2.23,-1.30565,2.59795,0.17961915130004627
2.225,-1.3805,2.7665,0.1738608256533266
2.22,-1.38995,2.79795,0.17571402432838243
2.215,-1.37755,2.76325,0.17643014690520722
2.21,-1.23155,2.42715,0.18640785354517728
2.205,-1.36455,2.73245,0.17903102051100112
2.2,-1.35475,2.70155,0.17896744576446286
2.195,-1.3541,2.6998,0.17978594756150088
2.19,-1.40945,2.82765,0.17537180156794063
2.185,-1.3578,2.6978,0.17891472647393034
2.18,-1.42305,2.85335,0.17428640213365879
2.175,-1.38855,2.76205,0.17629359704056022
2.17,-1.43275,2.86225,0.17190372220688482
2.165,-1.49575,3.02045,0.16708861586546414
2.16,-1.55335,3.13545,0.15486835080161176
2.155,-1.45795,2.92715,0.17259420384257193
2.15,-1.4414,2.8918,0.17613110654407785
2.145,-1.44365,2.89615,0.17648777772344199
2.14,-1.49545,3.01785,0.17064357094506077
2.135,-1.5055,3.0182,0.16490404707972953
2.13,-1.5283,3.0682,0.1614536599880976
2.125,-1.4019,2.7911,0.1828708960553634
2.12,-1.53805,3.08695,0.16050022194286218
2.115,-1.53665,3.08455,0.1616857585969854
2.11,-1.4446,2.878,0.17769835358594813
2.105,-1.518,3.0609,0.17074514361801163
2.1,-1.4991,3.0011,0.17092952154195
2.095,-1.48185,2.96905,0.1761599848485713
2.09,-1.5316,3.0806,0.16821992170508912
2.085,-1.4449,2.8723,0.18047466832289558
2.08,-1.52,3.0367,0.16787629437869822
2.075,-1.54895,3.10355,0.16357762171577864
2.07,-1.5209,3.0557,0.17329767089080267
2.065,-1.59935,3.22225,0.15579139878875992
2.06,-1.5747,3.1706,0.1628145701762654
2.055,-1.35475,2.64855,0.1925639648119536
2.05,-1.46955,2.91315,0.17931535930993459
2.045,-1.5191,3.0095,0.16782185424525206
2.04,-1.61335,3.25255,0.15610625180219131
2.035,-1.59825,3.19815,0.15544843313270829
2.03,-1.6151,3.2344,0.1518726467519232
2.025,-1.56425,3.14325,0.169820926688005
2.02,-1.45845,2.88755,0.1863723158268797
2.015,-1.4956,2.9691,0.1803546946289922
2.01,-1.56945,3.14095,0.1677623567485954
2.005,-1.6366,3.2763,0.14871560251490967
2.0,-1.53555,3.04385,0.17148404937500006
1.995,-1.6125,3.2455,0.16214565235142991
1.99,-1.5961,3.1944,0.16334556955632418
1.985,-1.5562,3.0919,0.17007697783756
1.98,-1.61685,3.22745,0.1564243642230386
1.975,-1.5743,3.1369,0.1688138464989584
1.97,-1.5209,3.0056,0.17842850627431786
1.965,-1.43515,2.81485,0.1955841675893013
1.96,-1.6865,3.378,0.13893110943356926
1.955,-1.64545,3.27985,0.14974896749759617
1.95,-1.6199,3.2341,0.16042708481262347
1.945,-1.67915,3.37425,0.14663008505098435
1.94,-1.5574,3.0793,0.17371804655117445
1.935,-1.6397,3.2771,0.1571710861393213
1.93,-1.65085,3.29105,0.15188173575129532
1.925,-1.66725,3.34275,0.15193858998144724
1.92,-1.68955,3.38425,0.14368239949544265
1.915,-1.63295,3.25905,0.1615729325307283
1.91,-1.59665,3.17255,0.17084476234204124
1.905,-1.70125,3.40365,0.14036785018014486
1.9,-1.6314,3.2423,0.1608958559556788
1.895,-1.69845,3.40135,0.1438635480120578
1.89,-1.7335,3.4839,0.13406056661347676
1.885,-1.71145,3.41995,0.13815305743373996
1.88,-1.671,3.3316,0.15260270484382063
1.875,-1.72495,3.45815,0.13730062151111105
1.87,-1.7106,3.4094,0.13819315393634374
1.865,-1.74325,3.48035,0.1269122720640557
1.86,-1.7324,3.4548,0.13111060238177835
1.855,-1.6878,3.3486,0.14528553555989857
1.85,-1.7,3.3984,0.14854638422205999
1.845,-1.6931,3.3816,0.15129512562334294
1.84,-1.7328,3.4589,0.13477793005671082
1.835,-1.69625,3.38045,0.14943638678733975
1.83,-1.6172,3.1854,0.17022430051658757
1.825,-1.7291,3.4543,0.13946727416025503
1.82,-1.7015,3.3875,0.14865286499215077
1.815,-1.75845,3.52125,0.13025934703913672
1.81,-1.73425,3.46065,0.1382823898843135
1.805,-1.69225,3.37925,0.15823694953230866
1.8,-1.77435,3.54435,0.1222321226851851
1.795,-1.7427,3.4704,0.13451066022144467
1.79,-1.76355,3.52665,0.13000262086077216
1.785,-1.7253,3.4441,0.14670649750096115
1.78,-1.77115,3.53485,0.1255768455687413
