Temp , Ave_magnetization , Ave_magnetization^2 , Susceptibility
2.92,0.00040000000000000734,1.5999999999999863e-07,-2.4838080859126527e-21
2.82,0.0003999999999999886,1.6000000000000498e-07,5.002976073654057e-21
2.72,0.0003999999999999777,1.6000000000001184e-07,1.0918784085699964e-20
2.62,0.00039999999999997226,1.6000000000001528e-07,1.4295701578779042e-20
2.52,0.000399999999999969,1.6000000000001734e-07,1.6722178224564063e-20
2.42,0.00039999999999996684,1.6000000000001872e-07,1.869291460301652e-20
2.32,0.00039999999999996527,1.600000000000058e-07,1.4478513066617822e-20
2.22,0.00039999999999996413,1.5999999999999474e-07,1.0552141868244027e-20
2.12,0.0003999999999999632,1.599999999999861e-07,7.329132370847203e-21
2.02,0.00039999999999996245,1.5999999999997922e-07,4.586347950789064e-21
1.92,0.0003999999999999619,1.5999999999997356e-07,2.0955242184676702e-21
1.82,0.0003999999999999614,1.5999999999996887e-07,-1.4543834945987297e-22
1.72,0.000399999999999961,1.599999999999649e-07,-2.2622427915403736e-21
1.62,0.00039999999999996066,1.599999999999615e-07,-4.34627245311813e-21
1.52,0.00039999999999996034,1.5999999999995853e-07,-6.408472956200299e-21
1.42,0.00039999999999996007,1.5999999999995593e-07,-8.537435956040265e-21
1.32,0.0003999999999999598,1.5999999999995365e-07,-1.0748334747355705e-20
1.22,0.0003999999999999596,1.5999999999995164e-07,-1.31264070975628e-20
1.12,0.0003999999999999594,1.5999999999994982e-07,-1.5810966565656443e-20
1.02,0.00039999999999995925,1.5999999999994818e-07,-1.884025489297249e-20
0.92,0.0004000000000000014,1.599999999999467e-07,-5.912543161031206e-20
