temp,i,j,"a[i,j]"
2.92,6,5,-1
2.92,6,6,-1
2.92,6,7,-1
2.92,6,8,-1
2.92,6,9,-1
2.92,6,10,-1
2.92,6,11,-1
2.92,6,12,-1
2.92,6,13,-1
2.92,6,14,-1
2.92,6,15,-1
2.92,6,16,1
2.92,6,17,-1
2.92,6,18,1
2.92,6,19,1
2.92,6,20,1
2.92,6,21,1
2.92,6,22,-1
2.92,6,23,-1
2.92,6,24,1
2.92,6,25,1
2.92,6,26,-1
2.92,6,27,1
2.92,6,28,1
2.92,6,29,1
2.92,6,30,-1
2.92,6,31,1
2.92,6,32,-1
2.92,6,33,-1
2.92,6,34,-1
2.92,6,35,-1
2.92,6,36,1
2.92,6,37,-1
2.92,6,38,1
2.92,6,39,1
2.92,6,40,-1
2.92,6,41,-1
2.92,6,42,-1
2.92,6,43,-1
2.92,6,44,1
2.92,6,45,-1
2.92,6,46,1
2.92,6,47,-1
2.92,6,48,-1
2.92,6,49,-1
2.92,7,0,-1
2.92,7,1,-1
2.92,7,2,1
2.92,7,3,1
2.92,7,4,-1
2.92,7,5,-1
2.92,7,6,1
2.92,7,7,-1
2.92,7,8,-1
2.92,7,9,1
2.92,7,10,-1
2.92,7,11,1
2.92,7,12,1
2.92,7,13,1
2.92,7,14,-1
2.92,7,15,1
2.92,7,16,-1
2.92,7,17,1
2.92,7,18,1
2.92,7,19,-1
2.92,7,20,-1
2.92,7,21,-1
2.92,7,22,1
2.92,7,23,1
2.92,7,24,-1
2.92,7,25,1
2.92,7,26,-1
2.92,7,27,-1
2.92,7,28,1
2.92,7,29,-1
2.92,7,30,-1
2.92,7,31,1
2.92,7,32,1
2.92,7,33,-1
2.92,7,34,-1
2.92,7,35,1
2.92,7,36,-1
2.92,7,37,1
2.92,7,38,-1
2.92,7,39,-1
2.92,7,40,-1
2.92,7,41,1
2.92,7,42,1
2.92,7,43,1
2.92,7,44,-1
2.92,7,45,-1
2.92,7,46,1
2.92,7,47,-1
2.92,7,48,-1
2.92,7,49,1
2.92,8,0,-1
2.92,8,1,1
2.92,8,2,1
2.92,8,3,-1
2.92,8,4,1
2.92,8,5,-1
2.92,8,6,-1
2.92,8,7,-1
2.92,8,8,-1
2.92,8,9,-1
2.92,8,10,-1
2.92,8,11,-1
2.92,8,12,1
2.92,8,13,1
2.92,8,14,1
2.92,8,15,1
2.92,8,16,-1
2.92,8,17,-1
2.92,8,18,1
2.92,8,19,1
2.92,8,20,1
2.92,8,21,-1
2.92,8,22,1
2.92,8,23,1
2.92,8,24,1
2.92,8,25,1
2.92,8,26,1
2.92,8,27,-1
2.92,8,28,1
2.92,8,29,-1
2.92,8,30,-1
2.92,8,31,1
2.92,8,32,1
2.92,8,33,1
2.92,8,34,1
2.92,8,35,-1
2.92,8,36,1
2.92,8,37,-1
2.92,8,38,-1
2.92,8,39,-1
2.92,8,40,-1
2.92,8,41,-1
2.92,8,42,1
2.92,8,43,-1
2.92,8,44,-1
2.92,8,45,-1
2.92,8,46,1
2.92,8,47,-1
2.92,8,48,1
2.92,8,49,-1
2.92,9,0,-1
2.92,9,1,-1
2.92,9,2,-1
2.92,9,3,1
2.92,9,4,1
2.92,9,5,-1
2.92,9,6,-1
2.92,9,7,-1
2.92,9,8,-1
2.92,9,9,-1
2.92,9,10,-1
2.92,9,11,-1
2.92,9,12,-1
2.92,9,13,1
2.92,9,14,-1
2.92,9,15,-1
2.92,9,16,-1
2.92,9,17,-1
2.92,9,18,-1
2.92,9,19,1
2.92,9,20,1
2.92,9,21,1
2.92,9,22,1
2.92,9,23,-1
2.92,9,24,1
2.92,9,25,-1
2.92,9,26,-1
2.92,9,27,1
2.92,9,28,1
2.92,9,29,-1
2.92,9,30,1
2.92,9,31,-1
2.92,9,32,1
2.92,9,33,-1
2.92,9,34,1
2.92,9,35,1
2.92,9,36,1
2.92,9,37,1
2.92,9,38,-1
2.92,9,39,-1
2.92,9,40,1
2.92,9,41,1
2.92,9,42,1
2.92,9,43,-1
2.92,9,44,-1
2.92,9,45,1
2.92,9,46,-1
2.92,9,47,-1
2.92,9,48,-1
2.92,9,49,1
2.92,10,0,-1
2.92,10,1,-1
2.92,10,2,1
2.92,10,3,1
2.92,10,4,1
2.92,10,5,1
2.92,10,6,1
2.92,10,7,-1
2.92,10,8,1
2.92,10,9,-1
2.92,10,10,-1
2.92,10,11,-1
2.92,10,12,1
2.92,10,13,1
2.92,10,14,1
2.92,10,15,-1
2.92,10,16,-1
2.92,10,17,-1
2.92,10,18,-1
2.92,10,19,-1
2.92,10,20,1
2.92,10,21,-1
2.92,10,22,-1
2.92,10,23,-1
2.92,10,24,-1
2.92,10,25,1
2.92,10,26,-1
2.92,10,27,1
2.92,10,28,-1
2.92,10,29,-1
2.92,10,30,1
2.92,10,31,-1
2.92,10,32,1
2.92,10,33,-1
2.92,10,34,1
2.92,10,35,1
2.92,10,36,1
2.92,10,37,1
2.92,10,38,-1
2.92,10,39,-1
2.92,10,40,1
2.92,10,41,-1
2.92,10,42,1
2.92,10,43,-1
2.92,10,44,1
2.92,10,45,-1
2.92,10,46,1
2.92,10,47,-1
2.92,10,48,-1
2.92,10,49,-1
2.92,11,0,1
2.92,11,1,-1
2.92,11,2,1
2.92,11,3,1
2.92,11,4,-1
2.92,11,5,-1
2.92,11,6,1
2.92,11,7,-1
2.92,11,8,-1
2.92,11,9,-1
2.92,11,10,-1
2.92,11,11,1
2.92,11,12,1
2.92,11,13,1
2.92,11,14,1
2.92,11,15,1
2.92,11,16,1
2.92,11,17,1
2.92,11,18,-1
2.92,11,19,-1
2.92,11,20,1
2.92,11,21,-1
2.92,11,22,1
2.92,11,23,1
2.92,11,24,1
2.92,11,25,1
2.92,11,26,-1
2.92,11,27,1
2.92,11,28,-1
2.92,11,29,-1
2.92,11,30,1
2.92,11,31,-1
2.92,11,32,-1
2.92,11,33,-1
2.92,11,34,1
2.92,11,35,1
2.92,11,36,1
2.92,11,37,1
2.92,11,38,-1
2.92,11,39,1
2.92,11,40,-1
2.92,11,41,1
2.92,11,42,-1
2.92,11,43,-1
2.92,11,44,1
2.92,11,45,-1
2.92,11,46,1
2.92,11,47,1
2.92,11,48,-1
2.92,11,49,1
2.92,12,0,-1
2.92,12,1,-1
2.92,12,2,-1
2.92,12,3,-1
2.92,12,4,-1
2.92,12,5,-1
2.92,12,6,1
2.92,12,7,-1
2.92,12,8,1
2.92,12,9,1
2.92,12,10,1
2.92,12,11,1
2.92,12,12,1
2.92,12,13,-1
2.92,12,14,-1
