temp,i,j,"a[i,j]" 
2.7199999999999998,10,43,-1
2.7199999999999998,10,44,1
2.7199999999999998,10,45,-1
2.7199999999999998,10,46,-1
2.7199999999999998,10,47,-1
2.7199999999999998,10,48,-1
2.7199999999999998,10,49,-1
2.7199999999999998,11,0,-1
2.7199999999999998,11,1,-1
2.7199999999999998,11,2,1
2.7199999999999998,11,3,-1
2.7199999999999998,11,4,1
2.7199999999999998,11,5,1
2.7199999999999998,11,6,-1
2.7199999999999998,11,7,-1
2.7199999999999998,11,8,1
2.7199999999999998,11,9,-1
2.7199999999999998,11,10,1
2.7199999999999998,11,11,1
2.7199999999999998,11,12,-1
2.7199999999999998,11,13,-1
2.7199999999999998,11,14,1
2.7199999999999998,11,15,1
2.7199999999999998,11,16,1
2.7199999999999998,11,17,1
2.7199999999999998,11,18,-1
2.7199999999999998,11,19,-1
2.7199999999999998,11,20,1
2.7199999999999998,11,21,1
2.7199999999999998,11,22,-1
2.7199999999999998,11,23,1
2.7199999999999998,11,24,1
2.7199999999999998,11,25,-1
2.7199999999999998,11,26,-1
2.7199999999999998,11,27,-1
2.7199999999999998,11,28,-1
2.7199999999999998,11,29,1
2.7199999999999998,11,30,-1
2.7199999999999998,11,31,-1
2.7199999999999998,11,32,-1
2.7199999999999998,11,33,-1
2.7199999999999998,11,34,1
2.7199999999999998,11,35,1
2.7199999999999998,11,36,-1
2.7199999999999998,11,37,1
2.7199999999999998,11,38,1
2.7199999999999998,11,39,1
2.7199999999999998,11,40,-1
2.7199999999999998,11,41,1
2.7199999999999998,11,42,-1
2.7199999999999998,11,43,-1
2.7199999999999998,11,44,1
2.7199999999999998,11,45,-1
2.7199999999999998,11,46,-1
2.7199999999999998,11,47,-1
2.7199999999999998,11,48,-1
2.7199999999999998,11,49,1
2.7199999999999998,12,0,-1
2.7199999999999998,12,1,-1
2.7199999999999998,12,2,-1
2.7199999999999998,12,3,-1
2.7199999999999998,12,4,-1
2.7199999999999998,12,5,-1
2.7199999999999998,12,6,1
2.7199999999999998,12,7,-1
2.7199999999999998,12,8,1
2.7199999999999998,12,9,-1
2.7199999999999998,12,10,1
2.7199999999999998,12,11,-1
2.7199999999999998,12,12,-1
2.7199999999999998,12,13,1
2.7199999999999998,12,14,-1
2.7199999999999998,12,15,-1
2.7199999999999998,12,16,-1
2.7199999999999998,12,17,-1
2.7199999999999998,12,18,1
2.7199999999999998,12,19,-1
2.7199999999999998,12,20,1
2.7199999999999998,12,21,-1
2.7199999999999998,12,22,1
2.7199999999999998,12,23,1
2.7199999999999998,12,24,1
2.7199999999999998,12,25,1
2.7199999999999998,12,26,-1
2.7199999999999998,12,27,-1
2.7199999999999998,12,28,1
2.7199999999999998,12,29,1
2.7199999999999998,12,30,1
2.7199999999999998,12,31,-1
2.7199999999999998,12,32,1
2.7199999999999998,12,33,-1
2.7199999999999998,12,34,1
2.7199999999999998,12,35,1
2.7199999999999998,12,36,1
2.7199999999999998,12,37,-1
2.7199999999999998,12,38,-1
2.7199999999999998,12,39,-1
2.7199999999999998,12,40,1
2.7199999999999998,12,41,1
2.7199999999999998,12,42,1
2.7199999999999998,12,43,-1
2.7199999999999998,12,44,-1
2.7199999999999998,12,45,-1
2.7199999999999998,12,46,1
2.7199999999999998,12,47,1
2.7199999999999998,12,48,1
2.7199999999999998,12,49,-1
2.7199999999999998,13,0,-1
2.7199999999999998,13,1,1
2.7199999999999998,13,2,-1
2.7199999999999998,13,3,-1
2.7199999999999998,13,4,-1
2.7199999999999998,13,5,1
2.7199999999999998,13,6,1
2.7199999999999998,13,7,-1
2.7199999999999998,13,8,-1
2.7199999999999998,13,9,-1
2.7199999999999998,13,10,-1
2.7199999999999998,13,11,-1
2.7199999999999998,13,12,-1
2.7199999999999998,13,13,1
2.7199999999999998,13,14,1
2.7199999999999998,13,15,-1
2.7199999999999998,13,16,-1
2.7199999999999998,13,17,-1
2.7199999999999998,13,18,-1
2.7199999999999998,13,19,-1
2.7199999999999998,13,20,-1
2.7199999999999998,13,21,1
2.7199999999999998,13,22,-1
2.7199999999999998,13,23,1
2.7199999999999998,13,24,1
2.7199999999999998,13,25,1
2.7199999999999998,13,26,1
2.7199999999999998,13,27,-1
2.7199999999999998,13,28,-1
2.7199999999999998,13,29,-1
2.7199999999999998,13,30,-1
2.7199999999999998,13,31,-1
2.7199999999999998,13,32,1
2.7199999999999998,13,33,-1
2.7199999999999998,13,34,1
2.7199999999999998,13,35,1
2.7199999999999998,13,36,1
2.7199999999999998,13,37,1
2.7199999999999998,13,38,-1
2.7199999999999998,13,39,-1
2.7199999999999998,13,40,1
2.7199999999999998,13,41,-1
2.7199999999999998,13,42,-1
2.7199999999999998,13,43,-1
2.7199999999999998,13,44,-1
2.7199999999999998,13,45,1
2.7199999999999998,13,46,1
2.7199999999999998,13,47,1
2.7199999999999998,13,48,1
2.7199999999999998,13,49,1
2.7199999999999998,14,0,1
2.7199999999999998,14,1,1
2.7199999999999998,14,2,1
2.7199999999999998,14,3,-1
2.7199999999999998,14,4,1
2.7199999999999998,14,5,-1
2.7199999999999998,14,6,-1
2.7199999999999998,14,7,1
2.7199999999999998,14,8,1
2.7199999999999998,14,9,1
2.7199999999999998,14,10,-1
2.7199999999999998,14,11,-1
2.7199999999999998,14,12,-1
2.7199999999999998,14,13,1
2.7199999999999998,14,14,1
2.7199999999999998,14,15,1
2.7199999999999998,14,16,1
2.7199999999999998,14,17,1
2.7199999999999998,14,18,1
2.7199999999999998,14,19,1
2.7199999999999998,14,20,-1
2.7199999999999998,14,21,-1
2.7199999999999998,14,22,1
2.7199999999999998,14,23,1
2.7199999999999998,14,24,1
2.7199999999999998,14,25,-1
2.7199999999999998,14,26,-1
2.7199999999999998,14,27,-1
2.7199999999999998,14,28,1
2.7199999999999998,14,29,1
2.7199999999999998,14,30,1
2.7199999999999998,14,31,1
2.7199999999999998,14,32,1
2.7199999999999998,14,33,1
2.7199999999999998,14,34,1
2.7199999999999998,14,35,-1
2.7199999999999998,14,36,-1
2.7199999999999998,14,37,-1
2.7199999999999998,14,38,1
2.7199999999999998,14,39,-1
2.7199999999999998,14,40,-1
2.7199999999999998,14,41,-1
2.7199999999999998,14,42,-1
2.7199999999999998,14,43,-1
2.7199999999999998,14,44,1
2.7199999999999998,14,45,1
2.7199999999999998,14,46,-1
2.7199999999999998,14,47,1
2.7199999999999998,14,48,-1
2.7199999999999998,14,49,1
2.7199999999999998,15,0,1
2.7199999999999998,15,1,-1
2.7199999999999998,15,2,1
2.7199999999999998,15,3,1
2.7199999999999998,15,4,1
2.7199999999999998,15,5,1
2.7199999999999998,15,6,-1
2.7199999999999998,15,7,1
2.7199999999999998,15,8,-1
2.7199999999999998,15,9,1
2.7199999999999998,15,10,1
2.7199999999999998,15,11,1
2.7199999999999998,15,12,-1
2.7199999999999998,15,13,1
2.7199999999999998,15,14,1
2.7199999999999998,15,15,1
2.7199999999999998,15,16,-1
2.7199999999999998,15,17,1
2.7199999999999998,15,18,1
2.7199999999999998,15,19,1
2.7199999999999998,15,20,1
2.7199999999999998,15,21,1
2.7199999999999998,15,22,-1
2.7199999999999998,15,23,1
2.7199999999999998,15,24,1
2.7199999999999998,15,25,-1
2.7199999999999998,15,26,-1
2.7199999999999998,15,27,1
2.7199999999999998,15,28,-1
2.7199999999999998,15,29,-1
2.7199999999999998,15,30,1
2.7199999999999998,15,31,1
2.7199999999999998,15,32,1
2.7199999999999998,15,33,1
2.7199999999999998,15,34,1
2.7199999999999998,15,35,1
2.7199999999999998,15,36,1
2.7199999999999998,15,37,1
2.7199999999999998,15,38,1
2.7199999999999998,15,39,-1
2.7199999999999998,15,40,-1
2.7199999999999998,15,41,1
2.7199999999999998,15,42,1
2.7199999999999998,15,43,1
2.7199999999999998,15,44,-1
2.7199999999999998,15,45,-1
2.7199999999999998,15,46,-1
2.7199999999999998,15,47,1
2.7199999999999998,15,48,1
2.7199999999999998,15,49,1
2.7199999999999998,16,0,1
2.7199999999999998,16,1,-1
2.7199999999999998,16,2,1
2.7199999999999998,16,3,1
2.7199999999999998,16,4,1
2.7199999999999998,16,5,1
2.7199999999999998,16,6,-1
2.7199999999999998,16,7,1
2.7199999999999998,16,8,1
2.7199999999999998,16,9,-1
2.7199999999999998,16,10,1
2.7199999999999998,16,11,1
2.7199999999999998,16,12,-1
2.7199999999999998,16,13,-1
2.7199999999999998,16,14,1
2.7199999999999998,16,15,-1
2.7199999999999998,16,16,-1
2.7199999999999998,16,17,-1
2.7199999999999998,16,18,-1
2.7199999999999998,16,19,-1
2.7199999999999998,16,20,-1
2.7199999999999998,16,21,-1
2.7199999999999998,16,22,-1
2.7199999999999998,16,23,1
2.7199999999999998,16,24,1
2.7199999999999998,16,25,1
2.7199999999999998,16,26,-1
2.7199999999999998,16,27,-1
2.7199999999999998,16,28,-1
2.7199999999999998,16,29,-1
2.7199999999999998,16,30,-1
2.7199999999999998,16,31,1
2.7199999999999998,16,32,1
2.7199999999999998,16,33,1
2.7199999999999998,16,34,1
2.7199999999999998,16,35,-1
2.7199999999999998,16,36,-1
2.7199999999999998,16,37,1
2.7199999999999998,16,38,1
2.7199999999999998,16,39,1
2.7199999999999998,16,40,-1
2.7199999999999998,16,41,1
2.7199999999999998,16,42,1
2.7199999999999998,16,43,-1
2.7199999999999998,16,44,-1
2.7199999999999998,16,45,-1
2.7199999999999998,16,46,-1
2.7199999999999998,16,47,-1
2.7199999999999998,16,48,-1
2.7199999999999998,16,49,-1
2.7199999999999998,17,0,1
2.7199999999999998,17,1,-1
2.7199999999999998,17,2,1
2.7199999999999998,17,3,-1
2.7199999999999998,17,4,1
2.7199999999999998,17,5,1
2.7199999999999998,17,6,-1
2.7199999999999998,17,7,1
2.7199999999999998,17,8,1
2.7199999999999998,17,9,-1
2.7199999999999998,17,10,-1
2.7199999999999998,17,11,-1
2.7199999999999998,17,12,-1
2.7199999999999998,17,13,-1
2.7199999999999998,17,14,-1
2.7199999999999998,17,15,-1
2.7199999999999998,17,16,-1
2.7199999999999998,17,17,1
2.7199999999999998,17,18,1
2.7199999999999998,17,19,1
2.7199999999999998,17,20,1
2.7199999999999998,17,21,1
2.7199999999999998,17,22,-1
2.7199999999999998,17,23,1
2.7199999999999998,17,24,1
2.7199999999999998,17,25,1
2.7199999999999998,17,26,1
2.7199999999999998,17,27,1
2.7199999999999998,17,28,1
2.7199999999999998,17,29,-1
2.7199999999999998,17,30,-1
2.7199999999999998,17,31,1
2.7199999999999998,17,32,-1
2.7199999999999998,17,33,1
2.7199999999999998,17,34,-1
2.7199999999999998,17,35,1
2.7199999999999998,17,36,-1
2.7199999999999998,17,37,-1
2.7199999999999998,17,38,1
2.7199999999999998,17,39,-1
2.7199999999999998,17,40,-1
2.7199999999999998,17,41,1
2.7199999999999998,17,42,1
2.7199999999999998,17,43,1
2.7199999999999998,17,44,1
2.7199999999999998,17,45,-1
2.7199999999999998,17,46,1
2.7199999999999998,17,47,1
2.7199999999999998,17,48,-1
2.7199999999999998,17,49,1
2.7199999999999998,18,0,-1
2.7199999999999998,18,1,-1
2.7199999999999998,18,2,1
2.7199999999999998,18,3,1
2.7199999999999998,18,4,-1
2.7199999999999998,18,5,1
2.7199999999999998,18,6,1
2.7199999999999998,18,7,1
2.7199999999999998,18,8,1
2.7199999999999998,18,9,-1
2.7199999999999998,18,10,-1
2.7199999999999998,18,11,-1
2.7199999999999998,18,12,1
2.7199999999999998,18,13,-1
2.7199999999999998,18,14,-1
2.7199999999999998,18,15,1
2.7199999999999998,18,16,1
2.7199999999999998,18,17,-1
2.7199999999999998,18,18,1
2.7199999999999998,18,19,-1
2.7199999999999998,18,20,1
2.7199999999999998,18,21,-1
2.7199999999999998,18,22,-1
2.7199999999999998,18,23,-1
2.7199999999999998,18,24,-1
2.7199999999999998,18,25,1
2.7199999999999998,18,26,1
2.7199999999999998,18,27,1
2.7199999999999998,18,28,-1
2.7199999999999998,18,29,-1
2.7199999999999998,18,30,1
2.7199999999999998,18,31,-1
2.7199999999999998,18,32,-1
2.7199999999999998,18,33,-1
2.7199999999999998,18,34,1
2.7199999999999998,18,35,1
2.7199999999999998,18,36,-1
2.7199999999999998,18,37,-1
2.7199999999999998,18,38,1
2.7199999999999998,18,39,-1
2.7199999999999998,18,40,-1
2.7199999999999998,18,41,-1
2.7199999999999998,18,42,1
2.7199999999999998,18,43,-1
2.7199999999999998,18,44,-1
2.7199999999999998,18,45,-1
2.7199999999999998,18,46,1
2.7199999999999998,18,47,1
2.7199999999999998,18,48,1
2.7199999999999998,18,49,-1
2.7199999999999998,19,0,1
2.7199999999999998,19,1,1
2.7199999999999998,19,2,1
2.7199999999999998,19,3,1
2.7199999999999998,19,4,-1
2.7199999999999998,19,5,-1
2.7199999999999998,19,6,-1
2.7199999999999998,19,7,1
2.7199999999999998,19,8,-1
2.7199999999999998,19,9,1
2.7199999999999998,19,10,-1
2.7199999999999998,19,11,-1
2.7199999999999998,19,12,1
2.7199999999999998,19,13,-1
2.7199999999999998,19,14,-1
2.7199999999999998,19,15,1
2.7199999999999998,19,16,1
2.7199999999999998,19,17,1
2.7199999999999998,19,18,1
2.7199999999999998,19,19,1
2.7199999999999998,19,20,-1
2.7199999999999998,19,21,1
2.7199999999999998,19,22,-1
2.7199999999999998,19,23,-1
2.7199999999999998,19,24,-1
2.7199999999999998,19,25,1
2.7199999999999998,19,26,1
2.7199999999999998,19,27,-1
2.7199999999999998,19,28,-1
2.7199999999999998,19,29,-1
2.7199999999999998,19,30,-1
2.7199999999999998,19,31,-1
2.7199999999999998,19,32,-1
2.7199999999999998,19,33,1
2.7199999999999998,19,34,1
2.7199999999999998,19,35,1
2.7199999999999998,19,36,-1
2.7199999999999998,19,37,1
2.7199999999999998,19,38,1
2.7199999999999998,19,39,1
2.7199999999999998,19,40,-1
2.7199999999999998,19,41,-1
2.7199999999999998,19,42,-1
2.7199999999999998,19,43,1
2.7199999999999998,19,44,-1
2.7199999999999998,19,45,-1
2.7199999999999998,19,46,1
2.7199999999999998,19,47,1
2.7199999999999998,19,48,1
2.7199999999999998,19,49,1
2.7199999999999998,20,0,-1
2.7199999999999998,20,1,-1
2.7199999999999998,20,2,-1
2.7199999999999998,20,3,1
2.7199999999999998,20,4,-1
2.7199999999999998,20,5,1
2.7199999999999998,20,6,1
2.7199999999999998,20,7,1
2.7199999999999998,20,8,1
2.7199999999999998,20,9,1
2.7199999999999998,20,10,1
2.7199999999999998,20,11,-1
2.7199999999999998,20,12,-1
2.7199999999999998,20,13,-1
2.7199999999999998,20,14,1
2.7199999999999998,20,15,-1
2.7199999999999998,20,16,1
2.7199999999999998,20,17,1
2.7199999999999998,20,18,1
2.7199999999999998,20,19,1
2.7199999999999998,20,20,-1
2.7199999999999998,20,21,-1
2.7199999999999998,20,22,-1
2.7199999999999998,20,23,-1
2.7199999999999998,20,24,1
2.7199999999999998,20,25,1
2.7199999999999998,20,26,-1
2.7199999999999998,20,27,-1
2.7199999999999998,20,28,-1
2.7199999999999998,20,29,-1
2.7199999999999998,20,30,1
2.7199999999999998,20,31,1
2.7199999999999998,20,32,1
2.7199999999999998,20,33,1
2.7199999999999998,20,34,1
2.7199999999999998,20,35,1
2.7199999999999998,20,36,1
2.7199999999999998,20,37,-1
2.7199999999999998,20,38,-1
2.7199999999999998,20,39,-1
2.7199999999999998,20,40,-1
2.7199999999999998,20,41,1
2.7199999999999998,20,42,1
2.7199999999999998,20,43,1
2.7199999999999998,20,44,1
2.7199999999999998,20,45,1
2.7199999999999998,20,46,1
2.7199999999999998,20,47,1
2.7199999999999998,20,48,-1
2.7199999999999998,20,49,-1
2.7199999999999998,21,0,1
2.7199999999999998,21,1,-1
2.7199999999999998,21,2,-1
2.7199999999999998,21,3,-1
2.7199999999999998,21,4,-1
2.7199999999999998,21,5,1
2.7199999999999998,21,6,1
2.7199999999999998,21,7,1
2.7199999999999998,21,8,1
2.7199999999999998,21,9,-1
2.7199999999999998,21,10,1
2.7199999999999998,21,11,-1
2.7199999999999998,21,12,-1
2.7199999999999998,21,13,-1
2.7199999999999998,21,14,1
2.7199999999999998,21,15,-1
2.7199999999999998,21,16,-1
2.7199999999999998,21,17,1
2.7199999999999998,21,18,1
2.7199999999999998,21,19,1
2.7199999999999998,21,20,1
2.7199999999999998,21,21,-1
2.7199999999999998,21,22,-1
2.7199999999999998,21,23,1
2.7199999999999998,21,24,1
2.7199999999999998,21,25,1
2.7199999999999998,21,26,-1
2.7199999999999998,21,27,-1
2.7199999999999998,21,28,1
2.7199999999999998,21,29,-1
2.7199999999999998,21,30,-1
2.7199999999999998,21,31,1
2.7199999999999998,21,32,-1
2.7199999999999998,21,33,-1
2.7199999999999998,21,34,1
2.7199999999999998,21,35,1
2.7199999999999998,21,36,-1
2.7199999999999998,21,37,1
2.7199999999999998,21,38,-1
2.7199999999999998,21,39,-1
2.7199999999999998,21,40,-1
2.7199999999999998,21,41,1
2.7199999999999998,21,42,1
2.7199999999999998,21,43,1
2.7199999999999998,21,44,-1
2.7199999999999998,21,45,-1
2.7199999999999998,21,46,1
2.7199999999999998,21,47,-1
2.7199999999999998,21,48,-1
2.7199999999999998,21,49,1
2.7199999999999998,22,0,-1
2.7199999999999998,22,1,-1
2.7199999999999998,22,2,1
2.7199999999999998,22,3,-1
2.7199999999999998,22,4,1
2.7199999999999998,22,5,-1
2.7199999999999998,22,6,1
2.7199999999999998,22,7,1
2.7199999999999998,22,8,1
2.7199999999999998,22,9,-1
2.7199999999999998,22,10,-1
2.7199999999999998,22,11,-1
2.7199999999999998,22,12,-1
2.7199999999999998,22,13,1
2.7199999999999998,22,14,1
2.7199999999999998,22,15,-1
2.7199999999999998,22,16,-1
2.7199999999999998,22,17,1
2.7199999999999998,22,18,1
2.7199999999999998,22,19,1
2.7199999999999998,22,20,-1
2.7199999999999998,22,21,-1
2.7199999999999998,22,22,-1
2.7199999999999998,22,23,-1
2.7199999999999998,22,24,1
2.7199999999999998,22,25,-1
2.7199999999999998,22,26,1
2.7199999999999998,22,27,1
2.7199999999999998,22,28,1
2.7199999999999998,22,29,-1
2.7199999999999998,22,30,-1
2.7199999999999998,22,31,1
2.7199999999999998,22,32,-1
2.7199999999999998,22,33,-1
2.7199999999999998,22,34,-1
2.7199999999999998,22,35,-1
2.7199999999999998,22,36,-1
2.7199999999999998,22,37,-1
2.7199999999999998,22,38,1
2.7199999999999998,22,39,1
2.7199999999999998,22,40,1
2.7199999999999998,22,41,1
2.7199999999999998,22,42,1
2.7199999999999998,22,43,1
2.7199999999999998,22,44,1
2.7199999999999998,22,45,1
2.7199999999999998,22,46,1
2.7199999999999998,22,47,-1
2.7199999999999998,22,48,-1
2.7199999999999998,22,49,-1
2.7199999999999998,23,0,1
2.7199999999999998,23,1,1
2.7199999999999998,23,2,1
2.7199999999999998,23,3,1
2.7199999999999998,23,4,1
2.7199999999999998,23,5,1
2.7199999999999998,23,6,-1
2.7199999999999998,23,7,1
2.7199999999999998,23,8,1
2.7199999999999998,23,9,-1
2.7199999999999998,23,10,-1
2.7199999999999998,23,11,-1
2.7199999999999998,23,12,-1
2.7199999999999998,23,13,1
2.7199999999999998,23,14,1
2.7199999999999998,23,15,-1
2.7199999999999998,23,16,-1
2.7199999999999998,23,17,-1
2.7199999999999998,23,18,1
2.7199999999999998,23,19,1
2.7199999999999998,23,20,-1
2.7199999999999998,23,21,1
2.7199999999999998,23,22,-1
2.7199999999999998,23,23,-1
2.7199999999999998,23,24,-1
2.7199999999999998,23,25,-1
2.7199999999999998,23,26,-1
2.7199999999999998,23,27,1
2.7199999999999998,23,28,-1
2.7199999999999998,23,29,1
2.7199999999999998,23,30,-1
2.7199999999999998,23,31,1
2.7199999999999998,23,32,-1
2.7199999999999998,23,33,-1
2.7199999999999998,23,34,1
2.7199999999999998,23,35,1
2.7199999999999998,23,36,1
2.7199999999999998,23,37,1
2.7199999999999998,23,38,1
2.7199999999999998,23,39,1
2.7199999999999998,23,40,-1
2.7199999999999998,23,41,1
2.7199999999999998,23,42,1
2.7199999999999998,23,43,1
2.7199999999999998,23,44,1
2.7199999999999998,23,45,-1
2.7199999999999998,23,46,1
2.7199999999999998,23,47,-1
2.7199999999999998,23,48,1
2.7199999999999998,23,49,1
2.7199999999999998,24,0,1
2.7199999999999998,24,1,1
2.7199999999999998,24,2,1
2.7199999999999998,24,3,-1
2.7199999999999998,24,4,-1
2.7199999999999998,24,5,1
2.7199999999999998,24,6,1
2.7199999999999998,24,7,1
2.7199999999999998,24,8,1
2.7199999999999998,24,9,-1
2.7199999999999998,24,10,-1
2.7199999999999998,24,11,1
2.7199999999999998,24,12,1
2.7199999999999998,24,13,-1
2.7199999999999998,24,14,1
2.7199999999999998,24,15,-1
2.7199999999999998,24,16,1
2.7199999999999998,24,17,-1
2.7199999999999998,24,18,1
2.7199999999999998,24,19,-1
2.7199999999999998,24,20,1
2.7199999999999998,24,21,-1
2.7199999999999998,24,22,-1
2.7199999999999998,24,23,-1
2.7199999999999998,24,24,-1
2.7199999999999998,24,25,-1
2.7199999999999998,24,26,-1
2.7199999999999998,24,27,-1
2.7199999999999998,24,28,1
2.7199999999999998,24,29,1
2.7199999999999998,24,30,-1
2.7199999999999998,24,31,1
2.7199999999999998,24,32,1
2.7199999999999998,24,33,1
2.7199999999999998,24,34,1
2.7199999999999998,24,35,1
2.7199999999999998,24,36,1
2.7199999999999998,24,37,-1
2.7199999999999998,24,38,-1
2.7199999999999998,24,39,-1
2.7199999999999998,24,40,1
2.7199999999999998,24,41,-1
2.7199999999999998,24,42,1
2.7199999999999998,24,43,1
2.7199999999999998,24,44,-1
2.7199999999999998,24,45,1
2.7199999999999998,24,46,-1
2.7199999999999998,24,47,-1
2.7199999999999998,24,48,1
2.7199999999999998,24,49,-1
2.7199999999999998,25,0,1
2.7199999999999998,25,1,1
2.7199999999999998,25,2,-1
2.7199999999999998,25,3,-1
2.7199999999999998,25,4,1
2.7199999999999998,25,5,-1
2.7199999999999998,25,6,-1
2.7199999999999998,25,7,-1
2.7199999999999998,25,8,-1
2.7199999999999998,25,9,-1
2.7199999999999998,25,10,1
2.7199999999999998,25,11,1
2.7199999999999998,25,12,-1
2.7199999999999998,25,13,1
2.7199999999999998,25,14,-1
2.7199999999999998,25,15,1
2.7199999999999998,25,16,-1
2.7199999999999998,25,17,1
2.7199999999999998,25,18,-1
2.7199999999999998,25,19,-1
2.7199999999999998,25,20,-1
2.7199999999999998,25,21,1
2.7199999999999998,25,22,1
2.7199999999999998,25,23,1
2.7199999999999998,25,24,1
2.7199999999999998,25,25,-1
2.7199999999999998,25,26,-1
2.7199999999999998,25,27,1
2.7199999999999998,25,28,1
2.7199999999999998,25,29,1
2.7199999999999998,25,30,1
2.7199999999999998,25,31,1
2.7199999999999998,25,32,-1
2.7199999999999998,25,33,1
2.7199999999999998,25,34,1
2.7199999999999998,25,35,1
2.7199999999999998,25,36,-1
2.7199999999999998,25,37,-1
2.7199999999999998,25,38,1
2.7199999999999998,25,39,1
2.7199999999999998,25,40,1
2.7199999999999998,25,41,1
2.7199999999999998,25,42,1
2.7199999999999998,25,43,1
2.7199999999999998,25,44,1
2.7199999999999998,25,45,1
2.7199999999999998,25,46,1
2.7199999999999998,25,47,1
2.7199999999999998,25,48,1
2.7199999999999998,25,49,1
2.7199999999999998,26,0,1
2.7199999999999998,26,1,-1
2.7199999999999998,26,2,-1
2.7199999999999998,26,3,1
2.7199999999999998,26,4,1
2.7199999999999998,26,5,1
2.7199999999999998,26,6,1
2.7199999999999998,26,7,-1
2.7199999999999998,26,8,-1
2.7199999999999998,26,9,-1
2.7199999999999998,26,10,1
2.7199999999999998,26,11,-1
2.7199999999999998,26,12,1
2.7199999999999998,26,13,1
2.7199999999999998,26,14,1
2.7199999999999998,26,15,-1
2.7199999999999998,26,16,-1
2.7199999999999998,26,17,-1
2.7199999999999998,26,18,-1
2.7199999999999998,26,19,-1
2.7199999999999998,26,20,1
2.7199999999999998,26,21,1
2.7199999999999998,26,22,-1
2.7199999999999998,26,23,-1
2.7199999999999998,26,24,1
2.7199999999999998,26,25,-1
2.7199999999999998,26,26,-1
2.7199999999999998,26,27,1
2.7199999999999998,26,28,1
2.7199999999999998,26,29,1
2.7199999999999998,26,30,1
2.7199999999999998,26,31,1
2.7199999999999998,26,32,1
2.7199999999999998,26,33,1
2.7199999999999998,26,34,1
2.7199999999999998,26,35,1
2.7199999999999998,26,36,1
2.7199999999999998,26,37,1
2.7199999999999998,26,38,-1
2.7199999999999998,26,39,1
2.7199999999999998,26,40,1
2.7199999999999998,26,41,1
2.7199999999999998,26,42,-1
2.7199999999999998,26,43,1
2.7199999999999998,26,44,-1
2.7199999999999998,26,45,1
2.7199999999999998,26,46,1
2.7199999999999998,26,47,1
2.7199999999999998,26,48,-1
2.7199999999999998,26,49,-1
2.7199999999999998,27,0,1
2.7199999999999998,27,1,1
2.7199999999999998,27,2,-1
2.7199999999999998,27,3,-1
2.7199999999999998,27,4,1
2.7199999999999998,27,5,1
2.7199999999999998,27,6,-1
2.7199999999999998,27,7,-1
2.7199999999999998,27,8,-1
2.7199999999999998,27,9,1
2.7199999999999998,27,10,1
2.7199999999999998,27,11,1
2.7199999999999998,27,12,-1
2.7199999999999998,27,13,-1
2.7199999999999998,27,14,1
2.7199999999999998,27,15,-1
2.7199999999999998,27,16,-1
2.7199999999999998,27,17,-1
2.7199999999999998,27,18,-1
2.7199999999999998,27,19,1
2.7199999999999998,27,20,1
2.7199999999999998,27,21,1
2.7199999999999998,27,22,1
2.7199999999999998,27,23,1
2.7199999999999998,27,24,1
2.7199999999999998,27,25,-1
2.7199999999999998,27,26,-1
2.7199999999999998,27,27,1
2.7199999999999998,27,28,-1
2.7199999999999998,27,29,-1
2.7199999999999998,27,30,1
2.7199999999999998,27,31,-1
2.7199999999999998,27,32,1
2.7199999999999998,27,33,1
2.7199999999999998,27,34,1
2.7199999999999998,27,35,1
2.7199999999999998,27,36,-1
2.7199999999999998,27,37,-1
2.7199999999999998,27,38,-1
2.7199999999999998,27,39,1
2.7199999999999998,27,40,-1
2.7199999999999998,27,41,-1
2.7199999999999998,27,42,-1
2.7199999999999998,27,43,-1
2.7199999999999998,27,44,-1
2.7199999999999998,27,45,1
2.7199999999999998,27,46,1
2.7199999999999998,27,47,1
2.7199999999999998,27,48,-1
2.7199999999999998,27,49,1
2.7199999999999998,28,0,1
2.7199999999999998,28,1,1
2.7199999999999998,28,2,1
2.7199999999999998,28,3,1
2.7199999999999998,28,4,1
2.7199999999999998,28,5,-1
2.7199999999999998,28,6,-1
2.7199999999999998,28,7,1
2.7199999999999998,28,8,-1
2.7199999999999998,28,9,-1
2.7199999999999998,28,10,1
2.7199999999999998,28,11,1
2.7199999999999998,28,12,-1
2.7199999999999998,28,13,1
2.7199999999999998,28,14,1
2.7199999999999998,28,15,-1
2.7199999999999998,28,16,-1
2.7199999999999998,28,17,1
2.7199999999999998,28,18,1
2.7199999999999998,28,19,1
2.7199999999999998,28,20,1
2.7199999999999998,28,21,1
2.7199999999999998,28,22,-1
2.7199999999999998,28,23,1
2.7199999999999998,28,24,1
2.7199999999999998,28,25,-1
2.7199999999999998,28,26,1
2.7199999999999998,28,27,1
2.7199999999999998,28,28,1
2.7199999999999998,28,29,-1
2.7199999999999998,28,30,-1
2.7199999999999998,28,31,-1
2.7199999999999998,28,32,1
2.7199999999999998,28,33,1
2.7199999999999998,28,34,1
2.7199999999999998,28,35,1
2.7199999999999998,28,36,-1
2.7199999999999998,28,37,1
2.7199999999999998,28,38,1
2.7199999999999998,28,39,-1
2.7199999999999998,28,40,-1
2.7199999999999998,28,41,-1
2.7199999999999998,28,42,-1
2.7199999999999998,28,43,1
2.7199999999999998,28,44,1
2.7199999999999998,28,45,1
